title,address,latitude,longitude
씨유노블레스관광호텔점,제주특별자치도 제주시 월성로4길 19,3962014.764,14082305.71
씨유제주성화로점,제주특별자치도 제주시 성화로 15,3963371.624,14082497.09
씨유제주,제주특별자치도 제주시 용문로 125,3962673.883,14082856.92
씨유제주승진타운점,제주특별자치도 제주시 용문로 157,3963047.108,14083030.09
씨유제주월성로점,제주특별자치도 제주시 월성로 31,3962078.155,14082527.62
씨유제주용화점,제주특별자치도 제주시 용화로 37-2,3963186.84,14082787.28
세븐제주용담현대점,제주특별자치도 제주시 용담로 50-1,3963561.773,14082827.44
지에스25제주용화점,제주특별자치도 제주시 용화로 26,3963159.127,14082618.75
세븐일레븐제주롯데오토하우스점,제주특별자치도 제주시 용해로 92,3963053.911,14082085.92
세븐일레븐제주용담현대점,제주특별자치도 제주시 용담로 50-1,3963561.773,14082827.44
씨유제주공항국내선점,제주특별자치도 제주시 공항로 2,3962651.382,14081471.14
씨제이올리브영제주국제,제주특별자치도 제주시 공항로 2,3962651.382,14081471.14
씨유제주공항렌트카하우스점,제주특별자치도 제주시 공항로 2,3962651.382,14081471.14
세븐일레븐제주사대부고점,제주특별자치도 제주시 용담로 71,3963552.477,14083100.74
씨유제주용화,제주특별자치도 제주시 용화로4길 2,3963163.938,14082452.15
세븐제주공항에어사이드점,제주특별자치도 제주시 공항로 2,3962651.382,14081471.14
씨유제주사대부점,제주특별자치도 제주시 용담로 68,3963529.76,14083027.98
씨유제주공항국제선점,제주특별자치도 제주시 공항로 2,3962651.382,14081471.14
지에스25제주용흥점,제주특별자치도 제주시 용담로 89,3963500.945,14083283.59
씨유제주용해로점,제주특별자치도 제주시 용해로 47,3963591.947,14082250.72
씨유제주용,제주특별자치도 제주시 용두암길 16,3963799.565,14083290.11
GS25용담전망대점,제주특별자치도 제주시 서해안로 448,3964220.507,14080529.5
씨유제주서해안로점,제주특별자치도 제주시 서해안로 456-2,3964271.413,14080635.39
씨유제주용두,제주특별자치도 제주시 서해안로 658,3964017.718,14082725.06
지에스25용담해안로점,제주특별자치도 제주시 서해안로 510,3964458.813,14081185.05
씨유제주해안도로점,제주특별자치도 제주시 서해안로 626,3964066.884,14082379.29
씨유제주용담해안도로점,제주특별자치도 제주시 서해안로 516,3964500.94,14081267.11
씨유삼화주공점,제주특별자치도 제주시 화삼북로2길 12,3964065.841,14090395.06
장봐주는언니삼화점,제주특별자치도 제주시 화삼로 9,3963784.581,14090164.07
GS25화북주공점,제주특별자치도 제주시 동화로1길 49-9,3964304.844,14090529.59
지에스25제주삼화점,제주특별자치도 제주시 화삼북로2길 32,3963793.69,14090388
세븐일레븐제주화북주공점,제주특별자치도 제주시 동화로1길 9,3964472.299,14090189.41
세븐일레븐제주화북,제주특별자치도 제주시 일주동로 181,3964398.736,14089137.19
씨유제주화북진동점,제주특별자치도 제주시 진동로 7,3964498.32,14089546.81
씨유제주화북진남점,제주특별자치도 제주시 진남로 22,3964892.814,14088913.5
씨유제주일주동로점,제주특별자치도 제주시 일주동로 243,3964522.979,14089849.62
씨유화북주공점,제주특별자치도 제주시 동화로 7,3964446.473,14090062.75
지에스25화북진남점,제주특별자치도 제주시 진남로 33,3964961.835,14089028.78
집밥뚝딱삼화점,제주특별자치도 제주시 화삼북로2길 32,3963793.69,14090388
세븐일레븐제주화북공단점,제주특별자치도 제주시 선반로 69,3963907.309,14089203.86
씨유제주화북우정점,제주특별자치도 제주시 진남로 56,3964986.948,14089276.48
세븐화북중앙점,제주특별자치도 제주시 진남로6길 21,3964616.633,14089224.06
씨유화북,제주특별자치도 제주시 진남로6길 15,3964531.16,14089224.03
